ward_name,risk_level,urgency,time_context,primary_pollutant,exposed_population,exposure_pct,precaution_count,full_message
Civil Lines,Moderate,immediate,Next 24 hours,PM10,70955,39.4,4,"
============================================================
  HEALTH ADVISORY: Civil Lines
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 134 | Next 24 hours
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (immediate): Take action now to protect yourself and your family.
Population at Risk: 70,955 out of 180,000 (39.4% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Civil Lines has a higher-than-average respiratory disease prevalence (14.5%). A significant portion (37.3%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Civil Lines,Moderate,short-term,Over the next 2 days,PM2_5,82185,45.7,4,"
============================================================
  HEALTH ADVISORY: Civil Lines
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 144 | Over the next 2 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (short-term): Prepare for deteriorating conditions and take preventive measures.
Population at Risk: 82,185 out of 180,000 (45.7% of ward population)

Pollutant Alert: PM2.5 levels are elevated. These fine particles can penetrate deep into the lungs and enter the bloodstream.

Local Context: Civil Lines has a higher-than-average respiratory disease prevalence (14.5%). A significant portion (37.3%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Civil Lines,Moderate,medium-term,Over the next 3 days,PM10,90148,50.1,4,"
============================================================
  HEALTH ADVISORY: Civil Lines
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 143 | Over the next 3 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (medium-term): Plan ahead and monitor updates regularly.
Population at Risk: 90,148 out of 180,000 (50.1% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Civil Lines has a higher-than-average respiratory disease prevalence (14.5%). A significant portion (37.3%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Karol Bagh,High,immediate,Next 24 hours,PM10,148543,59.4,7,"
============================================================
  HEALTH ADVISORY: Karol Bagh
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 202 | Next 24 hours
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (immediate): Take action now to protect yourself and your family.
Population at Risk: 148,543 out of 250,000 (59.4% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Karol Bagh has a higher-than-average respiratory disease prevalence (12.8%).

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Karol Bagh,High,short-term,Over the next 2 days,PM10,143776,57.5,7,"
============================================================
  HEALTH ADVISORY: Karol Bagh
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 178 | Over the next 2 days
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (short-term): Prepare for deteriorating conditions and take preventive measures.
Population at Risk: 143,776 out of 250,000 (57.5% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Karol Bagh has a higher-than-average respiratory disease prevalence (12.8%).

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Karol Bagh,High,medium-term,Over the next 3 days,PM10,153768,61.5,7,"
============================================================
  HEALTH ADVISORY: Karol Bagh
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 177 | Over the next 3 days
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (medium-term): Plan ahead and monitor updates regularly.
Population at Risk: 153,768 out of 250,000 (61.5% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Karol Bagh has a higher-than-average respiratory disease prevalence (12.8%).

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
New Delhi,Moderate,immediate,Next 24 hours,PM10,62274,44.5,4,"
============================================================
  HEALTH ADVISORY: New Delhi
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 144 | Next 24 hours
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (immediate): Take action now to protect yourself and your family.
Population at Risk: 62,274 out of 140,000 (44.5% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: A significant portion (36.0%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
New Delhi,High,short-term,Over the next 2 days,PM2_5,78204,55.9,7,"
============================================================
  HEALTH ADVISORY: New Delhi
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 184 | Over the next 2 days
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (short-term): Prepare for deteriorating conditions and take preventive measures.
Population at Risk: 78,204 out of 140,000 (55.9% of ward population)

Pollutant Alert: PM2.5 levels are elevated. These fine particles can penetrate deep into the lungs and enter the bloodstream.

Local Context: A significant portion (36.0%) of the population are children or elderly.

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
New Delhi,Moderate,medium-term,Over the next 3 days,PM10,76920,54.9,4,"
============================================================
  HEALTH ADVISORY: New Delhi
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 163 | Over the next 3 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (medium-term): Plan ahead and monitor updates regularly.
Population at Risk: 76,920 out of 140,000 (54.9% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: A significant portion (36.0%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Vasant Kunj,Moderate,immediate,Next 24 hours,PM10,48089,40.1,4,"
============================================================
  HEALTH ADVISORY: Vasant Kunj
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 130 | Next 24 hours
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (immediate): Take action now to protect yourself and your family.
Population at Risk: 48,089 out of 120,000 (40.1% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Vasant Kunj has a higher-than-average respiratory disease prevalence (13.0%).

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Vasant Kunj,Moderate,short-term,Over the next 2 days,PM10,55721,46.4,4,"
============================================================
  HEALTH ADVISORY: Vasant Kunj
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 157 | Over the next 2 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (short-term): Prepare for deteriorating conditions and take preventive measures.
Population at Risk: 55,721 out of 120,000 (46.4% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: Vasant Kunj has a higher-than-average respiratory disease prevalence (13.0%).

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Vasant Kunj,Moderate,medium-term,Over the next 3 days,PM2_5,59159,49.3,4,"
============================================================
  HEALTH ADVISORY: Vasant Kunj
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 148 | Over the next 3 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (medium-term): Plan ahead and monitor updates regularly.
Population at Risk: 59,159 out of 120,000 (49.3% of ward population)

Pollutant Alert: PM2.5 levels are elevated. These fine particles can penetrate deep into the lungs and enter the bloodstream.

Local Context: Vasant Kunj has a higher-than-average respiratory disease prevalence (13.0%).

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Dwarka,Moderate,immediate,Next 24 hours,PM2_5,137191,45.7,4,"
============================================================
  HEALTH ADVISORY: Dwarka
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 145 | Next 24 hours
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (immediate): Take action now to protect yourself and your family.
Population at Risk: 137,191 out of 300,000 (45.7% of ward population)

Pollutant Alert: PM2.5 levels are elevated. These fine particles can penetrate deep into the lungs and enter the bloodstream.

Local Context: A significant portion (36.900000000000006%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Dwarka,Moderate,short-term,Over the next 2 days,PM10,135087,45.0,4,"
============================================================
  HEALTH ADVISORY: Dwarka
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 131 | Over the next 2 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (short-term): Prepare for deteriorating conditions and take preventive measures.
Population at Risk: 135,087 out of 300,000 (45.0% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: A significant portion (36.900000000000006%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Dwarka,Moderate,medium-term,Over the next 3 days,PM10,158964,53.0,4,"
============================================================
  HEALTH ADVISORY: Dwarka
  Moderate Air Quality — Limit Prolonged Exposure
  Risk Level: Moderate | AQI: 156 | Over the next 3 days
============================================================

Members of sensitive groups may experience health effects. The general public is less likely to be affected.

Time Context (medium-term): Plan ahead and monitor updates regularly.
Population at Risk: 158,964 out of 300,000 (53.0% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Local Context: A significant portion (36.900000000000006%) of the population are children or elderly.

Recommended Precautions:
  1. Sensitive groups: reduce prolonged outdoor exertion
  2. Take more breaks during outdoor activities
  3. Keep windows closed during peak pollution hours
  4. Monitor symptoms if you have respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Rohini,High,immediate,Next 24 hours,PM2_5,217935,62.3,7,"
============================================================
  HEALTH ADVISORY: Rohini
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 210 | Next 24 hours
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (immediate): Take action now to protect yourself and your family.
Population at Risk: 217,935 out of 350,000 (62.3% of ward population)

Pollutant Alert: PM2.5 levels are elevated. These fine particles can penetrate deep into the lungs and enter the bloodstream.

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Rohini,High,short-term,Over the next 2 days,PM10,225160,64.3,7,"
============================================================
  HEALTH ADVISORY: Rohini
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 199 | Over the next 2 days
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (short-term): Prepare for deteriorating conditions and take preventive measures.
Population at Risk: 225,160 out of 350,000 (64.3% of ward population)

Pollutant Alert: PM10 levels are elevated. These coarse particles can irritate the eyes, nose, and throat.

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
Rohini,High,medium-term,Over the next 3 days,PM2_5,218797,62.5,7,"
============================================================
  HEALTH ADVISORY: Rohini
  Unhealthy Air Quality — Take Protective Measures
  Risk Level: High | AQI: 180 | Over the next 3 days
============================================================

Everyone may begin to experience health effects. Members of sensitive groups may experience more serious health effects.

Time Context (medium-term): Plan ahead and monitor updates regularly.
Population at Risk: 218,797 out of 350,000 (62.5% of ward population)

Pollutant Alert: PM2.5 levels are elevated. These fine particles can penetrate deep into the lungs and enter the bloodstream.

Recommended Precautions:
  1. Avoid prolonged outdoor exertion
  2. Wear N95/KN95 masks when outdoors
  3. Keep windows and doors closed
  4. Use air purifiers indoors
  5. Schools should consider limiting outdoor activities
  6. Elderly and children should stay indoors
  7. Follow medication schedules for respiratory conditions

Vulnerable Groups Affected:
  - Children — higher breathing rate and developing lungs make them more susceptible
  - Elderly (60+) — age-related decline in lung function increases vulnerability
  - Pregnant women — air pollution affects both maternal and fetal health
  - People with asthma, COPD, or other respiratory conditions
  - People with heart disease or hypertension

--- This is an AI-generated advisory. Follow official government protocols. ---
"
